Report Date,Cumulative or New Header,Report Date,Total or New Positive Cases
4/18/2020 12:00:00 AM,New,4/18/2020 12:00:00 AM,2
4/19/2020 12:00:00 AM,New,4/19/2020 12:00:00 AM,1
4/20/2020 12:00:00 AM,New,4/20/2020 12:00:00 AM,2
4/21/2020 12:00:00 AM,New,4/21/2020 12:00:00 AM,1
4/22/2020 12:00:00 AM,New,4/22/2020 12:00:00 AM,0
4/23/2020 12:00:00 AM,New,4/23/2020 12:00:00 AM,3
4/24/2020 12:00:00 AM,New,4/24/2020 12:00:00 AM,2
4/25/2020 12:00:00 AM,New,4/25/2020 12:00:00 AM,7
4/26/2020 12:00:00 AM,New,4/26/2020 12:00:00 AM,4
4/27/2020 12:00:00 AM,New,4/27/2020 12:00:00 AM,15
4/28/2020 12:00:00 AM,New,4/28/2020 12:00:00 AM,5
4/29/2020 12:00:00 AM,New,4/29/2020 12:00:00 AM,7
4/30/2020 12:00:00 AM,New,4/30/2020 12:00:00 AM,8
5/1/2020 12:00:00 AM,New,5/1/2020 12:00:00 AM,5
5/2/2020 12:00:00 AM,New,5/2/2020 12:00:00 AM,6
5/3/2020 12:00:00 AM,New,5/3/2020 12:00:00 AM,36
5/4/2020 12:00:00 AM,New,5/4/2020 12:00:00 AM,25
5/5/2020 12:00:00 AM,New,5/5/2020 12:00:00 AM,9
5/6/2020 12:00:00 AM,New,5/6/2020 12:00:00 AM,7
5/7/2020 12:00:00 AM,New,5/7/2020 12:00:00 AM,5
5/8/2020 12:00:00 AM,New,5/8/2020 12:00:00 AM,5
5/9/2020 12:00:00 AM,New,5/9/2020 12:00:00 AM,18
5/10/2020 12:00:00 AM,New,5/10/2020 12:00:00 AM,8
5/11/2020 12:00:00 AM,New,5/11/2020 12:00:00 AM,11
5/12/2020 12:00:00 AM,New,5/12/2020 12:00:00 AM,4
5/13/2020 12:00:00 AM,New,5/13/2020 12:00:00 AM,13
5/14/2020 12:00:00 AM,New,5/14/2020 12:00:00 AM,7
5/15/2020 12:00:00 AM,New,5/15/2020 12:00:00 AM,13
5/16/2020 12:00:00 AM,New,5/16/2020 12:00:00 AM,10
5/17/2020 12:00:00 AM,New,5/17/2020 12:00:00 AM,12
5/18/2020 12:00:00 AM,New,5/18/2020 12:00:00 AM,4
5/19/2020 12:00:00 AM,New,5/19/2020 12:00:00 AM,7
5/20/2020 12:00:00 AM,New,5/20/2020 12:00:00 AM,18
5/21/2020 12:00:00 AM,New,5/21/2020 12:00:00 AM,11
5/22/2020 12:00:00 AM,New,5/22/2020 12:00:00 AM,6
5/23/2020 12:00:00 AM,New,5/23/2020 12:00:00 AM,8
5/24/2020 12:00:00 AM,New,5/24/2020 12:00:00 AM,13
5/25/2020 12:00:00 AM,New,5/25/2020 12:00:00 AM,4
5/26/2020 12:00:00 AM,New,5/26/2020 12:00:00 AM,2
5/27/2020 12:00:00 AM,New,5/27/2020 12:00:00 AM,5
5/28/2020 12:00:00 AM,New,5/28/2020 12:00:00 AM,2
5/29/2020 12:00:00 AM,New,5/29/2020 12:00:00 AM,8
5/30/2020 12:00:00 AM,New,5/30/2020 12:00:00 AM,3
5/31/2020 12:00:00 AM,New,5/31/2020 12:00:00 AM,9
6/1/2020 12:00:00 AM,New,6/1/2020 12:00:00 AM,12
6/2/2020 12:00:00 AM,New,6/2/2020 12:00:00 AM,4
6/3/2020 12:00:00 AM,New,6/3/2020 12:00:00 AM,3
6/4/2020 12:00:00 AM,New,6/4/2020 12:00:00 AM,8
6/5/2020 12:00:00 AM,New,6/5/2020 12:00:00 AM,5
6/6/2020 12:00:00 AM,New,6/6/2020 12:00:00 AM,7
6/7/2020 12:00:00 AM,New,6/7/2020 12:00:00 AM,12
6/8/2020 12:00:00 AM,New,6/8/2020 12:00:00 AM,3
6/9/2020 12:00:00 AM,New,6/9/2020 12:00:00 AM,4
6/10/2020 12:00:00 AM,New,6/10/2020 12:00:00 AM,6
6/11/2020 12:00:00 AM,New,6/11/2020 12:00:00 AM,0
6/12/2020 12:00:00 AM,New,6/12/2020 12:00:00 AM,6
6/13/2020 12:00:00 AM,New,6/13/2020 12:00:00 AM,7
6/14/2020 12:00:00 AM,New,6/14/2020 12:00:00 AM,7
6/15/2020 12:00:00 AM,New,6/15/2020 12:00:00 AM,5
6/16/2020 12:00:00 AM,New,6/16/2020 12:00:00 AM,1
6/17/2020 12:00:00 AM,New,6/17/2020 12:00:00 AM,6
6/18/2020 12:00:00 AM,New,6/18/2020 12:00:00 AM,9
6/19/2020 12:00:00 AM,New,6/19/2020 12:00:00 AM,4
6/20/2020 12:00:00 AM,New,6/20/2020 12:00:00 AM,16
6/21/2020 12:00:00 AM,New,6/21/2020 12:00:00 AM,4
6/22/2020 12:00:00 AM,New,6/22/2020 12:00:00 AM,9
6/23/2020 12:00:00 AM,New,6/23/2020 12:00:00 AM,2
6/24/2020 12:00:00 AM,New,6/24/2020 12:00:00 AM,3
6/25/2020 12:00:00 AM,New,6/25/2020 12:00:00 AM,11
6/26/2020 12:00:00 AM,New,6/26/2020 12:00:00 AM,24
6/27/2020 12:00:00 AM,New,6/27/2020 12:00:00 AM,20
6/28/2020 12:00:00 AM,New,6/28/2020 12:00:00 AM,10
6/29/2020 12:00:00 AM,New,6/29/2020 12:00:00 AM,15
6/30/2020 12:00:00 AM,New,6/30/2020 12:00:00 AM,9
7/1/2020 12:00:00 AM,New,7/1/2020 12:00:00 AM,7
7/2/2020 12:00:00 AM,New,7/2/2020 12:00:00 AM,19
7/3/2020 12:00:00 AM,New,7/3/2020 12:00:00 AM,18
7/4/2020 12:00:00 AM,New,7/4/2020 12:00:00 AM,17
7/5/2020 12:00:00 AM,New,7/5/2020 12:00:00 AM,21
7/6/2020 12:00:00 AM,New,7/6/2020 12:00:00 AM,11
7/7/2020 12:00:00 AM,New,7/7/2020 12:00:00 AM,1
7/8/2020 12:00:00 AM,New,7/8/2020 12:00:00 AM,8
7/9/2020 12:00:00 AM,New,7/9/2020 12:00:00 AM,8
7/10/2020 12:00:00 AM,New,7/10/2020 12:00:00 AM,16
7/11/2020 12:00:00 AM,New,7/11/2020 12:00:00 AM,11
7/12/2020 12:00:00 AM,New,7/12/2020 12:00:00 AM,9
7/13/2020 12:00:00 AM,New,7/13/2020 12:00:00 AM,6
7/14/2020 12:00:00 AM,New,7/14/2020 12:00:00 AM,10
7/15/2020 12:00:00 AM,New,7/15/2020 12:00:00 AM,7
7/16/2020 12:00:00 AM,New,7/16/2020 12:00:00 AM,12
7/17/2020 12:00:00 AM,New,7/17/2020 12:00:00 AM,12
7/18/2020 12:00:00 AM,New,7/18/2020 12:00:00 AM,26
7/19/2020 12:00:00 AM,New,7/19/2020 12:00:00 AM,23
7/20/2020 12:00:00 AM,New,7/20/2020 12:00:00 AM,11
7/21/2020 12:00:00 AM,New,7/21/2020 12:00:00 AM,3
7/22/2020 12:00:00 AM,New,7/22/2020 12:00:00 AM,18
7/23/2020 12:00:00 AM,New,7/23/2020 12:00:00 AM,14
7/24/2020 12:00:00 AM,New,7/24/2020 12:00:00 AM,21
7/25/2020 12:00:00 AM,New,7/25/2020 12:00:00 AM,18
7/26/2020 12:00:00 AM,New,7/26/2020 12:00:00 AM,12
7/27/2020 12:00:00 AM,New,7/27/2020 12:00:00 AM,7
7/28/2020 12:00:00 AM,New,7/28/2020 12:00:00 AM,18
7/29/2020 12:00:00 AM,New,7/29/2020 12:00:00 AM,22
7/30/2020 12:00:00 AM,New,7/30/2020 12:00:00 AM,12
7/31/2020 12:00:00 AM,New,7/31/2020 12:00:00 AM,22
8/1/2020 12:00:00 AM,New,8/1/2020 12:00:00 AM,32
8/2/2020 12:00:00 AM,New,8/2/2020 12:00:00 AM,9
8/3/2020 12:00:00 AM,New,8/3/2020 12:00:00 AM,9
8/4/2020 12:00:00 AM,New,8/4/2020 12:00:00 AM,15
8/5/2020 12:00:00 AM,New,8/5/2020 12:00:00 AM,5
8/6/2020 12:00:00 AM,New,8/6/2020 12:00:00 AM,23
8/7/2020 12:00:00 AM,New,8/7/2020 12:00:00 AM,31
8/8/2020 12:00:00 AM,New,8/8/2020 12:00:00 AM,12
8/9/2020 12:00:00 AM,New,8/9/2020 12:00:00 AM,22
8/10/2020 12:00:00 AM,New,8/10/2020 12:00:00 AM,10
8/11/2020 12:00:00 AM,New,8/11/2020 12:00:00 AM,17
8/12/2020 12:00:00 AM,New,8/12/2020 12:00:00 AM,7
8/13/2020 12:00:00 AM,New,8/13/2020 12:00:00 AM,18
8/14/2020 12:00:00 AM,New,8/14/2020 12:00:00 AM,30
8/15/2020 12:00:00 AM,New,8/15/2020 12:00:00 AM,23
8/16/2020 12:00:00 AM,New,8/16/2020 12:00:00 AM,21
8/17/2020 12:00:00 AM,New,8/17/2020 12:00:00 AM,15
8/18/2020 12:00:00 AM,New,8/18/2020 12:00:00 AM,11
8/19/2020 12:00:00 AM,New,8/19/2020 12:00:00 AM,6
8/20/2020 12:00:00 AM,New,8/20/2020 12:00:00 AM,14
8/21/2020 12:00:00 AM,New,8/21/2020 12:00:00 AM,19
8/22/2020 12:00:00 AM,New,8/22/2020 12:00:00 AM,31
8/23/2020 12:00:00 AM,New,8/23/2020 12:00:00 AM,9
8/24/2020 12:00:00 AM,New,8/24/2020 12:00:00 AM,22
8/25/2020 12:00:00 AM,New,8/25/2020 12:00:00 AM,11
8/26/2020 12:00:00 AM,New,8/26/2020 12:00:00 AM,25
8/27/2020 12:00:00 AM,New,8/27/2020 12:00:00 AM,15
8/28/2020 12:00:00 AM,New,8/28/2020 12:00:00 AM,11
8/29/2020 12:00:00 AM,New,8/29/2020 12:00:00 AM,28
8/30/2020 12:00:00 AM,New,8/30/2020 12:00:00 AM,16
8/31/2020 12:00:00 AM,New,8/31/2020 12:00:00 AM,14
9/1/2020 12:00:00 AM,New,9/1/2020 12:00:00 AM,5
9/2/2020 12:00:00 AM,New,9/2/2020 12:00:00 AM,29
9/3/2020 12:00:00 AM,New,9/3/2020 12:00:00 AM,16
9/4/2020 12:00:00 AM,New,9/4/2020 12:00:00 AM,56
9/5/2020 12:00:00 AM,New,9/5/2020 12:00:00 AM,16
9/6/2020 12:00:00 AM,New,9/6/2020 12:00:00 AM,30
9/7/2020 12:00:00 AM,New,9/7/2020 12:00:00 AM,19
9/8/2020 12:00:00 AM,New,9/8/2020 12:00:00 AM,6
9/9/2020 12:00:00 AM,New,9/9/2020 12:00:00 AM,24
9/10/2020 12:00:00 AM,New,9/10/2020 12:00:00 AM,34
9/11/2020 12:00:00 AM,New,9/11/2020 12:00:00 AM,83
9/12/2020 12:00:00 AM,New,9/12/2020 12:00:00 AM,62
9/13/2020 12:00:00 AM,New,9/13/2020 12:00:00 AM,27
9/14/2020 12:00:00 AM,New,9/14/2020 12:00:00 AM,7
9/15/2020 12:00:00 AM,New,9/15/2020 12:00:00 AM,31
9/16/2020 12:00:00 AM,New,9/16/2020 12:00:00 AM,53
9/17/2020 12:00:00 AM,New,9/17/2020 12:00:00 AM,31
9/18/2020 12:00:00 AM,New,9/18/2020 12:00:00 AM,29
9/19/2020 12:00:00 AM,New,9/19/2020 12:00:00 AM,42
9/20/2020 12:00:00 AM,New,9/20/2020 12:00:00 AM,26
9/21/2020 12:00:00 AM,New,9/21/2020 12:00:00 AM,23
9/22/2020 12:00:00 AM,New,9/22/2020 12:00:00 AM,36
9/23/2020 12:00:00 AM,New,9/23/2020 12:00:00 AM,43
9/24/2020 12:00:00 AM,New,9/24/2020 12:00:00 AM,35
9/25/2020 12:00:00 AM,New,9/25/2020 12:00:00 AM,44
9/26/2020 12:00:00 AM,New,9/26/2020 12:00:00 AM,92
9/27/2020 12:00:00 AM,New,9/27/2020 12:00:00 AM,40
9/28/2020 12:00:00 AM,New,9/28/2020 12:00:00 AM,43
9/29/2020 12:00:00 AM,New,9/29/2020 12:00:00 AM,24
9/30/2020 12:00:00 AM,New,9/30/2020 12:00:00 AM,62
10/1/2020 12:00:00 AM,New,10/1/2020 12:00:00 AM,35
10/2/2020 12:00:00 AM,New,10/2/2020 12:00:00 AM,43
